MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
-4.1, 1350000, 16/06/2019 06:50:09, 6.634003316248794, 17.0, -19.0, 12438.99, 1589.1266940996238, 0.09781250000000001
-3.4, 1360000, 16/06/2019 07:03:00, 7.0611613775638915, 17.0, -19.0, 12413.64, 1613.968924855742, 0.09775
-2.83, 1370000, 16/06/2019 07:15:43, 7.180605824023485, 17.0, -19.0, 12453.34, 1580.1391028640485, 0.09768750000000001
-2.36, 1380000, 16/06/2019 07:28:26, 7.474650493501351, 17.0, -19.0, 12415.08, 1582.149061751136, 0.097625
-1.77, 1390000, 16/06/2019 07:41:32, 7.752231936674753, 18.0, -19.0, 12431.82, 1658.1709705576202, 0.09756250000000001
-1.26, 1400000, 16/06/2019 07:54:35, 7.776400195463195, 18.0, -15.0, 12429.96, 1592.3105847792383, 0.0975
-0.77, 1410000, 16/06/2019 08:07:38, 7.822857534175092, 18.0, -15.0, 12473.5, 1626.3741236259264, 0.09743750000000001
-0.31, 1420000, 16/06/2019 08:20:51, 7.772637904855726, 18.0, -15.0, 12530.91, 1642.6834758711125, 0.097375
0.02, 1430000, 16/06/2019 08:34:02, 7.6327976522373495, 18.0, -15.0, 12613.3, 1659.4283804973325, 0.09731250000000001
0.48, 1440000, 16/06/2019 08:47:28, 7.575592386077805, 18.0, -15.0, 12633.09, 1666.0591471793548, 0.09725
1.06, 1450000, 16/06/2019 09:00:48, 7.458981163671082, 18.0, -15.0, 12663.16, 1657.6112675775341, 0.09718750000000001
1.37, 1460000, 16/06/2019 09:14:06, 7.541425594673729, 18.0, -15.0, 12600.77, 1658.5131826729628, 0.097125
1.75, 1470000, 16/06/2019 09:27:31, 7.582051173660067, 18.0, -15.0, 12551.45, 1682.4581086909714, 0.09706250000000001
2.33, 1480000, 16/06/2019 09:40:52, 7.491401737992697, 18.0, -15.0, 12549.83, 1681.924802451049, 0.097
2.78, 1490000, 16/06/2019 09:54:14, 7.271285993550247, 18.0, -15.0, 12567.2, 1653.2776354865507, 0.09693750000000001
3.21, 1500000, 16/06/2019 10:07:38, 7.115187980650968, 18.0, -15.0, 12569.88, 1637.9598669076113, 0.096875
3.74, 1510000, 16/06/2019 10:22:18, 6.74480540860891, 18.0, -12.0, 12584.93, 1623.9780432936896, 0.09681250000000001
4.03, 1520000, 16/06/2019 10:36:03, 6.573362914064611, 18.0, -12.0, 12567.46, 1605.7844526585752, 0.09675
4.68, 1530000, 16/06/2019 10:50:14, 6.409180914906366, 18.0, -12.0, 12516.95, 1647.9743467360163, 0.09668750000000001
4.97, 1540000, 16/06/2019 11:04:40, 6.158660568662638, 18.0, -12.0, 12544.88, 1645.8934551179188, 0.096625
